지역,1,2,3,4,5,6
강원,0.09406952965235174,0.38445807770961143,0.03067484662576687,0.18200408997955012,0.2392638036809816,0.06952965235173825
경기,0.09514563106796116,0.3825242718446602,0.02912621359223301,0.1825242718446602,0.2446601941747573,0.06601941747572816
경남,0.07191780821917808,0.4280821917808219,0.025684931506849314,0.20376712328767124,0.21232876712328766,0.05821917808219178
경북,0.08719851576994433,0.3692022263450835,0.04452690166975881,0.21335807050092764,0.22263450834879406,0.06307977736549165
서울,0.09327548806941431,0.3796095444685466,0.03253796095444685,0.18004338394793926,0.24078091106290672,0.0737527114967462
전남,0.07850467289719626,0.4130841121495327,0.028037383177570093,0.19813084112149532,0.21869158878504674,0.06355140186915888
전북,0.08426966292134831,0.42134831460674155,0.028089887640449437,0.1853932584269663,0.21722846441947566,0.06367041198501873
제주,0.08717105263157894,0.4342105263157895,0.024671052631578948,0.19736842105263158,0.20065789473684212,0.05592105263157895
충남,0.06789250353606789,0.5134370579915134,0.021216407355021217,0.15134370579915135,0.19801980198019803,0.04809052333804809
충북,0.09036144578313253,0.37349397590361444,0.030120481927710843,0.20080321285140562,0.23694779116465864,0.06827309236947791
