지역,일자리,직무교육,주거지원,창업지원,복지,참여 프로그램,기타
강원,146,89,26,72,85,71,0
경기,146,94,32,69,94,80,0
경남,175,94,43,81,102,89,0
경북,158,84,44,86,93,74,0
서울,129,81,29,67,85,70,0
전남,140,95,39,81,100,80,0
전북,152,89,32,76,104,81,0
제주,171,107,45,82,111,92,0
충남,179,118,51,87,169,103,0
충북,145,92,34,64,87,76,0
