대표분류_정리,정책수,평균텍스트길이,URL존재율,신청방법기재율
일자리,1541,464.1596365996106,0.835820895522388,0.6878650227125244
복지,1030,396.54077669902915,0.7621359223300971,0.5805825242718446
직무교육,943,392.5121951219512,0.7741251325556734,0.6702014846235419
참여 프로그램,816,336.05514705882354,0.7536764705882353,0.5882352941176471
창업지원,765,310.52287581699346,0.7594771241830065,0.5411764705882353
주거지원,375,445.25866666666667,0.7253333333333334,0.512
