지역,고용기회,워라밸환경,임금소득,주거안정,직무성장,참여관계,창업생태계
강원,0.46421267893660534,0.4212678936605317,0.2965235173824131,0.08793456032719836,0.6094069529652352,0.37014314928425357,0.25766871165644173
경기,0.45048543689320386,0.4174757281553398,0.2970873786407767,0.10485436893203884,0.6174757281553398,0.35145631067961164,0.22718446601941747
경남,0.4383561643835616,0.4229452054794521,0.3184931506849315,0.1404109589041096,0.6352739726027398,0.3458904109589041,0.2465753424657534
경북,0.4675324675324675,0.44712430426716143,0.3320964749536178,0.1261595547309833,0.6048237476808905,0.35992578849721707,0.287569573283859
서울,0.4642082429501085,0.4316702819956616,0.3470715835140998,0.10845986984815618,0.6247288503253796,0.38611713665943603,0.24295010845986983
전남,0.41869158878504675,0.38691588785046727,0.30654205607476637,0.11214953271028037,0.6130841121495327,0.34579439252336447,0.2635514018691589
전북,0.4250936329588015,0.41760299625468167,0.301498127340824,0.1104868913857678,0.5674157303370787,0.3408239700374532,0.2397003745318352
제주,0.44243421052631576,0.4292763157894737,0.3223684210526316,0.11842105263157894,0.6085526315789473,0.3569078947368421,0.23190789473684212
충남,0.39038189533239037,0.3932107496463932,0.26308345120226306,0.10891089108910891,0.5968882602545968,0.3069306930693069,0.20084865629420084
충북,0.46184738955823296,0.44779116465863456,0.3353413654618474,0.11244979919678715,0.6024096385542169,0.3654618473895582,0.23493975903614459
