지역,순위,키워드,TFIDF
전북,26,공공예식장,0.048357
전북,27,대출이자,0.046998
전북,28,순위,0.045945
전북,29,장수군에,0.038686
전북,30,공연팀,0.038686
제주,1,제주특별자치도경제통상진흥원,0.550857
제주,2,경영본부,0.541193
제주,3,서귀포시,0.420391
제주,4,제주시,0.146975
제주,5,경제활력국,0.120802
제주,6,노동일자리과,0.09181
제주,7,기획예산과,0.082154
제주,8,서귀포시청,0.062817
제주,9,제주대학교,0.057985
제주,10,자치행정국,0.0575
제주,11,제주특별자치도에,0.053153
제주,12,주택토지과,0.053153
제주,13,제주청년센터,0.053153
제주,14,소상공인과,0.053153
제주,15,제주도,0.048321
제주,16,비정규학교,0.048321
제주,17,통합채용,0.048321
제주,18,제주경제통상진흥원,0.043489
제주,19,제주신용보증재단,0.043489
제주,20,동려청소년학교,0.043489
제주,21,제주지역,0.038657
제주,22,제주도청,0.038657
제주,23,진로취업,0.038657
제주,24,제주도에,0.033825
제주,25,도외,0.033825
제주,26,제주특별자치도청,0.033825
제주,27,대출이자,0.033265
제주,28,도시근로자,0.032862
제주,29,청년활동,0.031951
제주,30,아르바이트,0.031563
충남,1,경제산업과,0.205623
충남,2,청년인구정책과,0.182776
충남,3,아산시,0.182776
충남,4,지역경제과,0.152928
충남,5,장학사업별,0.137082
충남,6,서산시에,0.137082
충남,7,천안시,0.125658
충남,8,홍성,0.125658
충남,9,건강증진식품과,0.125658
충남,10,태안,0.125658
충남,11,천안,0.114235
충남,12,별도문의,0.114235
충남,13,충남도립대학교,0.102811
충남,14,고등교육정책담당관,0.102811
충남,15,디스플레이,0.102811
충남,16,충남도민,0.102811
충남,17,재단법인충남경제진흥원,0.091388
충남,18,공주시,0.091388
충남,19,pop,0.091388
충남,20,다름,0.090642
충남,21,문화체육관광국,0.087399
충남,22,고위험군,0.08496
충남,23,상해보험,0.076464
충남,24,미디어커머스,0.068541
충남,25,재단법인충청남도평생교육인재육성진흥원,0.068541
충남,26,창업어가,0.068541
충남,27,인구전략국,0.068541
충남,28,신속허가과,0.068541
충남,29,출산지원금,0.068541
충남,30,둘째,0.067982
충북,1,충청북도,0.911749
충북,2,제천시,0.186071
충북,3,괴산군,0.124047
충북,4,충주시,0.124047
충북,5,충북청년희망센터,0.086833
충북,6,미래기획국,0.049619
충북,7,충북인재평생교육진흥원,0.049619
충북,8,안전행정국,0.043417
충북,9,청주시,0.043417
충북,10,보건소,0.038546
충북,11,태교,0.036908
충북,12,도정,0.032809
충북,13,음성군,0.031012
충북,14,충북과학기술혁신원,0.031012
충북,15,충북바이오산학융합원,0.031012
충북,16,디바이스,0.031012
충북,17,보은군,0.031012
충북,18,가족돌봄,0.031012
충북,19,충청북도기업진흥원,0.031012
충북,20,고립은둔,0.027677
충북,21,청년농부,0.027677
충북,22,미래전략과,0.026363
충북,23,결혼식,0.026363
충북,24,초혼,0.026363
충북,25,상점가,0.024809
충북,26,청주,0.024809
충북,27,보은,0.024809
충북,28,미래채움,0.02109
충북,29,이노베이션스퀘어,0.02109
충북,30,인이,0.02109
