지역,청년순이동자수,청년순이동률,정책공급종합점수,정책대응부족도,청년유출강도,청년유출위험도,정책미스매치점수,청년유출위험순위,정책미스매치순위,미스매치유형
전북,-3225,-1.1394,46.4,53.6,1.1394,71.12803545789374,38.12462700543105,2,1,고유출-고부족
전남,-2921,-1.0913,49.19,50.81,1.0913,68.12535114551468,34.614490917036015,5,2,고유출-고부족
