rank,keyword,mean_tfidf
1,복지,0.02648394344231583
2,혜택,0.02623818873791251
3,복지 혜택,0.02608005314408325
4,운영,0.020495564481647244
5,제공,0.01983132388667171
6,생산직종사자,0.018766919115311566
7,휴무,0.017500458046975267
8,자격증,0.016473243402181693
9,경력직,0.01582598426523522
10,생산직,0.015702275166848835
11,신입/경력,0.015508314194820176
12,공정관리자,0.015283102965146123
13,사무보조,0.014595868675027816
14,개발,0.01456082492122004
15,품질관리자,0.014126966025720543
16,물류관리자,0.013744759654240582
17,연차,0.013720913650433233
18,영업관리,0.013184573658291428
19,사무담당자,0.013158909225924161
20,마케팅,0.013043131038881354
21,경험자,0.013038585481186398
22,교육/생활,0.012891885393020289
23,부서,0.01283094845054227
24,지급,0.012599461930021032
25,선물,0.012432968734904053
26,회계,0.012397581884612423
27,리프레시,0.012285768376815288
28,환경,0.012227049276342631
29,출퇴근,0.012051745686658578
30,자재관리자,0.01203575618054555
31,휴가,0.011969495784136521
32,인근거주자,0.011935265863603037
33,품질관리,0.011787833075237975
34,포장,0.011732168534388965
35,연구원,0.01172296941997221
36,경영지원,0.011215769969892772
37,중소기업,0.011157058236048963
38,기획,0.011127501664361987
39,품질,0.011047137290475679
40,매장관리자,0.01093962629439717
41,점심식사,0.010842621444863195
42,분석,0.010837843283755644
43,설비,0.010822912313795716
44,제품영업,0.010821385576058305
45,경리,0.010737971047785917
46,대기업,0.010711640814297835
47,점심식사 제공,0.010665436960304182
48,납품,0.010663325830534002
49,건강검진,0.010540606063629634
50,경영,0.01053835366334928
