job_group,복지·근무조건,생산·물류·현장직,사무·데이터·분석역량,서비스·상담·매장/호텔,엔지니어·연구개발·품질,마케팅·콘텐츠·브랜드
IT·데이터,10.1,1.8,42.0,20.8,19.2,6.1
기획·마케팅,8.8,2.5,22.0,13.8,2.9,50.1
사무·회계,14.6,5.4,46.2,26.1,5.4,2.4
생산·기술,20.5,29.4,22.4,7.9,19.0,0.8
연구개발·품질,23.1,8.1,39.6,5.7,22.5,1.0
