job_group,rank,keyword,group_mean_tfidf,distinctive_score,global_mean_tfidf
IT·데이터,1,개발,0.05402340393773898,0.039462579016518944,0.01456082492122004
IT·데이터,2,개발자,0.038783327464025796,0.03229351032668931,0.006489817137336487
IT·데이터,3,데이터,0.030586572764487733,0.02079127831638746,0.009795294448100273
IT·데이터,4,시스템,0.025659408543730767,0.017859441763156386,0.007799966780574382
IT·데이터,5,웹개발자,0.018794321120382568,0.0157197265582806,0.0030745945621019695
IT·데이터,6,프론트,0.019874528829826325,0.015368114021774381,0.004506414808051943
IT·데이터,7,호텔종사자,0.02224225304099428,0.014214530066018761,0.00802772297497552
IT·데이터,8,엔지니어,0.02276746645601665,0.01405107989211595,0.008716386563900702
IT·데이터,9,백엔드개발자,0.01699760674854493,0.01403851169164999,0.0029590950568949377
IT·데이터,10,소프트웨어,0.016884502420349088,0.013474601330751516,0.0034099010895975723
IT·데이터,11,구축,0.017186317719403238,0.013134081021792723,0.004052236697610516
IT·데이터,12,네트워크,0.016659374894830138,0.012949602238450073,0.003709772656380066
IT·데이터,13,정보처리기사,0.014793981130704617,0.01246450310058779,0.002329478030116826
IT·데이터,14,프로젝트,0.019044344542066747,0.01235337856360236,0.006690965978464388
IT·데이터,15,솔루션,0.015308748627203078,0.012216882203446312,0.0030918664237567658
기획·마케팅,1,마케팅,0.07025136260756246,0.0572082315686811,0.013043131038881354
기획·마케팅,2,기획,0.05126608204343803,0.04013858037907604,0.011127501664361987
기획·마케팅,3,콘텐츠,0.043397634721481115,0.03593071787004427,0.00746691685143685
기획·마케팅,4,브랜드,0.03490863954347341,0.028288070614461827,0.006620568929011583
기획·마케팅,5,sns,0.03156099473704861,0.026850068086081147,0.0047109266509674655
기획·마케팅,6,홍보,0.031358362428362895,0.023927940998141512,0.007430421430221382
기획·마케팅,7,광고,0.02685283300270024,0.022283918570443324,0.004568914432256915
기획·마케팅,8,마케터,0.026103932362796557,0.021288884355639755,0.0048150480071568035
기획·마케팅,9,디자인,0.025424137233590282,0.01945638456131249,0.005967752672277794
기획·마케팅,10,온라인마케터,0.025793817824495746,0.019342393008741892,0.006451424815753855
기획·마케팅,11,운영,0.03809228501504299,0.017596720533395747,0.020495564481647244
기획·마케팅,12,콘텐츠마케터,0.02133811884414228,0.017109166668994463,0.004228952175147817
기획·마케팅,13,마케팅기획,0.024839750033852484,0.017093690945024616,0.007746059088827869
기획·마케팅,14,제작,0.023815396526959385,0.016718651811485102,0.007096744715474282
기획·마케팅,15,브랜드마케터,0.020594968141700268,0.01626576344316139,0.00432920469853888
사무·회계,1,회계,0.04190548218442105,0.029507900299808626,0.012397581884612423
사무·회계,2,경리,0.03162450722182213,0.020886536174036217,0.010737971047785917
사무·회계,3,사무보조,0.03192769311161418,0.017331824436586367,0.014595868675027816
사무·회계,4,인사,0.02248606533599762,0.015599407783629152,0.0068866575523684696
사무·회계,5,사무직,0.024096857420660592,0.01547806723437554,0.008618790186285053
사무·회계,6,경영지원,0.022237398331258224,0.011021628361365452,0.011215769969892772
사무·회계,7,엑셀,0.019437023195783356,0.011018517276285887,0.00841850591949747
사무·회계,8,세무,0.014987297568918312,0.010670528756400182,0.0043167688125181295
사무·회계,9,회계담당자,0.017620109270563827,0.009959170310831718,0.007660938959732109
사무·회계,10,결산,0.0128880349949513,0.009214601298396553,0.003673433696554747
사무·회계,11,재무,0.0134368372173558,0.00917327785300081,0.004263559364354991
사무·회계,12,대보험,0.014034075917454737,0.007989248971003343,0.006044826946451394
사무·회계,13,사무담당자,0.02108944082743847,0.007930531601514308,0.013158909225924161
사무·회계,14,사무원,0.012125480350528352,0.0078092360861839434,0.004316244264344409
사무·회계,15,부가세,0.01072858153871502,0.00779054137027335,0.00293804016844167
생산·기술,1,생산직,0.04375498698675502,0.028052711819906186,0.015702275166848835
생산·기술,2,생산직종사자,0.04270379509193002,0.023936875976618456,0.018766919115311566
생산·기술,3,설비,0.029601704010028165,0.01877879169623245,0.010822912313795716
생산·기술,4,포장,0.027937235703302876,0.01620506716891391,0.011732168534388965
생산·기술,5,공정관리자,0.030825392029915837,0.015542289064769715,0.015283102965146123
생산·기술,6,생산팀,0.019263507416969656,0.012363906318969064,0.006899601098000591
생산·기술,7,교대,0.018011875128129736,0.011256168195144793,0.006755706932984944
생산·기술,8,가공담당자,0.019578640854516716,0.011205473157312299,0.008373167697204417
생산·기술,9,포장 가공담당자,0.01955524280215133,0.011188975306245236,0.008366267495906092
생산·기술,10,조립,0.017551213462225185,0.010921103033745178,0.006630110428480007
생산·기술,11,생산직종사자 공정관리자,0.016953494586045153,0.010532528722233887,0.006420965863811265
