region,복지·근무조건,생산·물류·현장직,사무·데이터·분석역량,서비스·상담·매장/호텔,엔지니어·연구개발·품질,마케팅·콘텐츠·브랜드
서울,12.5,4.0,28.7,17.9,15.8,21.0
경기도,14.9,14.4,26.6,14.4,18.5,11.2
강원도,15.9,11.0,34.9,18.3,12.9,7.0
충청북도,16.1,18.9,27.1,11.5,19.3,7.1
충청남도,15.9,19.3,27.0,9.8,21.9,6.1
전라북도,18.0,14.0,32.3,16.2,11.3,8.2
전라남도,15.4,10.5,34.2,16.7,16.3,7.0
경상북도,15.8,17.9,29.8,12.0,17.3,7.2
경상남도,15.7,14.1,29.6,14.7,17.7,8.1
제주도,9.6,6.6,36.7,28.9,8.5,9.7
