region,rank,keyword,region_mean_tfidf,distinctive_score,global_mean_tfidf
서울,1,온라인마케터,0.02273009661018981,0.016278671794435956,0.006451424815753855
서울,2,브랜드마케터,0.020026693136183712,0.015697488437644833,0.00432920469853888
서울,3,마케팅기획,0.02333255873404493,0.01558649964521706,0.007746059088827869
서울,4,브랜드,0.02111119029400996,0.014490621364998377,0.006620568929011583
서울,5,퍼포먼스마케터,0.017650178513027703,0.014273810317289162,0.003376368195738542
서울,6,콘텐츠마케터,0.018214200487016066,0.013985248311868249,0.004228952175147817
서울,7,마케터,0.01692466535574842,0.012109617348591615,0.0048150480071568035
서울,8,광고기획자,0.013190975051296508,0.010676029436085904,0.002514945615210603
서울,9,마케팅,0.02244233877767996,0.009399207738798607,0.013043131038881354
서울,10,퍼포먼스마케터 온라인마케터,0.010178869354456006,0.008365574362274966,0.001813294992181041
서울,11,채널관리자,0.011204035721657964,0.008351917206773373,0.00285211851488459
서울,12,데이터분석,0.009566100483064222,0.007832661933177412,0.0017334385498868094
서울,13,sns마케팅,0.009657239587205723,0.007820344818530191,0.0018368947686755318
서울,14,경영,0.018273424818889862,0.007735071155540582,0.01053835366334928
서울,15,디자이너,0.01184300429710005,0.0076769166333358115,0.004166087663764239
경기도,1,유통관리자,0.01660248362011406,0.008858456746663164,0.007744026873450894
경기도,2,물류관리자,0.022183770545391744,0.008439010891151162,0.013744759654240582
경기도,3,물류관리자 자재관리자,0.015202355367784751,0.008025524161241186,0.007176831206543564
경기도,4,자재관리자,0.01993745645659799,0.00790170027605244,0.01203575618054555
경기도,5,영업지원,0.017209806955021542,0.007324833937375642,0.0098849730176459
경기도,6,자재관리자 유통관리자,0.010716009525039162,0.0070408015458897095,0.003675207979149452
경기도,7,탄탄한,0.00844349733732942,0.006740972186916551,0.001702525150412869
경기도,8,재고관리,0.00984625606720747,0.0058580399303009,0.00398821613690657
경기도,9,회사내규에,0.00870148899010264,0.005719897782951457,0.002981591207151184
경기도,10,퇴사율,0.007172112295804856,0.005570384392490292,0.0016017279033145638
경기도,11,잡아바,0.008956513014135106,0.005528753964240423,0.0034277590498946824
경기도,12,경영지원,0.016691824532377643,0.0054760545624848705,0.011215769969892772
경기도,13,구매관리자,0.012060952659639378,0.005251025081295906,0.0068099275783434715
경기도,14,통계,0.015433053572601992,0.005197765182581393,0.0102352883900206
경기도,15,사무담당자,0.018218267638456756,0.005059358412532595,0.013158909225924161
강원도,1,호텔종사자,0.016185421379271273,0.008157698404295753,0.00802772297497552
강원도,2,의료기기,0.011833514343636517,0.007443866971032622,0.004389647372603895
강원도,3,리셉셔니스트,0.012276332978885394,0.0064569638427838,0.005819369136101594
강원도,4,안내데스크 리셉셔니스트,0.011890990137300201,0.006124732671869117,0.005766257465431085
강원도,5,안내데스크,0.012002428531976547,0.00599452069814974,0.006007907833826807
강원도,6,주방보조,0.009361226679372165,0.00501056981554302,0.004350656863829145
강원도,7,프론트,0.009464740167985281,0.004958325359933338,0.004506414808051943
강원도,8,운영보조 매니저,0.009906987170421934,0.0049311530210260366,0.004975834149395898
강원도,9,코오롱모터스,0.005954710079017513,0.0049242166730154215,0.001030493406002092
강원도,10,운영보조,0.009900239263726057,0.00491670628615634,0.004983532977569717
강원도,11,시설관리자,0.010756503797628596,0.004840535188348654,0.005915968609279941
강원도,12,kt고객센터,0.0052776645569209205,0.004752476115581595,0.0005251884413393254
강원도,13,letswork,0.005271188671046854,0.004727697881332581,0.0005434907897142726
강원도,14,회계,0.017004092109411024,0.004606510224798601,0.012397581884612423
강원도,15,토목기사,0.008158000492220785,0.004431594674062655,0.0037264058181581306
충청북도,1,생산직종사자,0.030368914938779207,0.011601995823467642,0.018766919115311566
충청북도,2,공정관리자,0.022882483575652483,0.00759938061050636,0.015283102965146123
충청북도,3,오퍼레이터,0.010977953301917647,0.006891657108204206,0.004086296193713442
충청북도,4,생산직,0.02245967681639341,0.006757401649544574,0.015702275166848835
충청북도,5,포장 가공담당자,0.014720223340520033,0.006353955844613941,0.008366267495906092
충청북도,6,가공담당자,0.014720223340520033,0.006347055643315617,0.008373167697204417
충청북도,7,품질관리자,0.020257137793060518,0.006130171767339975,0.014126966025720543
충청북도,8,반도체엔지니어,0.010486839466609898,0.005944561523898662,0.004542277942711235
충청북도,9,자재관리자,0.017892885693433183,0.0058571295128876325,0.01203575618054555
충청북도,10,생산팀,0.012735610625580311,0.00583600952757972,0.006899601098000591
충청북도,11,포장,0.01751332784289657,0.005781159308507606,0.011732168534388965
충청북도,12,생산직종사자 포장,0.009927475644965496,0.0057756407550545695,0.004151834889910926
충청북도,13,기숙사,0.013718810970691005,0.005561792308873442,0.008157018661817563
충청북도,14,연구원,0.01667192870866414,0.004948959288691931,0.01172296941997221
충청북도,15,영업관리 보험설계사,0.005735963653298755,0.004925444246791702,0.000810519406507053
충청남도,1,생산직종사자,0.03251009311813625,0.013743174002824682,0.018766919115311566
충청남도,2,반도체,0.020066045654649853,0.013734742811432448,0.006331302843217404
충청남도,3,공정관리자,0.026746856772738303,0.01146375380759218,0.015283102965146123
충청남도,4,반도체엔지니어,0.014397802326761761,0.009855524384050525,0.004542277942711235
충청남도,5,생산직종사자 공정관리자,0.015896300277664508,0.009475334413853242,0.006420965863811265
충청남도,6,기계엔지니어,0.0182499073097313,0.008220637904418597,0.010029269405312702
충청남도,7,공정관리자 포장,0.010742034041299192,0.007907399833397074,0.0028346342079021178
충청남도,8,품질관리자,0.021738888260530744,0.007611922234810201,0.014126966025720543
충청남도,9,포장 가공담당자,0.015596107911610138,0.007229840415704045,0.008366267495906092
충청남도,10,가공담당자,0.015596107911610138,0.007222940214405721,0.008373167697204417
충청남도,11,설비,0.017998445258402527,0.007175532944606811,0.010822912313795716
충청남도,12,공정엔지니어,0.01117507440167608,0.007125565987263379,0.004049508414412701
충청남도,13,설비엔지니어,0.013101860745228596,0.006935155177329329,0.006166705567899266
충청남도,14,전기 전자엔지니어,0.01307140542153918,0.006628245824468671,0.006443159597070509
충청남도,15,전자엔지니어,0.01307140542153918,0.006628245824468671,0.006443159597070509
전라북도,1,혜택,0.03421642734685,0.00797823860893749,0.02623818873791251
전라북도,2,복지 혜택,0.03392330383288553,0.007843250688802282,0.02608005314408325
전라북도,3,복지,0.03363458647667647,0.007150643034360641,0.02648394344231583
전라북도,4,배송 매장관리,0.00691408932347793,0.00618980017744959,0.0007242891460283401
전라북도,5,매장관리,0.008503298680078625,0.006104604432732653,0.002398694247345972
전라북도,6,매장관리 납품,0.00654630601251347,0.005845650844416248,0.0007006551680972222
전라북도,7,배송,0.009665259914060207,0.005529561897243248,0.004135698016816959
전라북도,8,참고을,0.006228705091114473,0.0054301529192781126,0.0007985521718363608
전라북도,9,전주점,0.005846079530631276,0.005245022532500972,0.0006010569981303031
전라북도,10,노무법인,0.007249105825630776,0.00507717614119919,0.0021719296844315865
전라북도,11,노무법인 이산,0.0068225867893165855,0.00502014317267035,0.001802443616646236
전라북도,12,이산,0.0068225867893165855,0.00502014317267035,0.001802443616646236
전라북도,13,영업관리 품질관리자,0.005365753705831909,0.004782734278960932,0.0005830194268709775
전라북도,14,전북지역,0.005336584448455198,0.004769769219317518,0.0005668152291376797
전라북도,15,학습지 방문교사,0.007833952803556763,0.004745437851454315,0.0030885149521024478
전라남도,1,자격증,0.02320135760425732,0.006728114202075627,0.016473243402181693
전라남도,2,전기기사,0.011966874962510409,0.005939114299947728,0.006027760662562681
전라남도,3,공시 기계엔지니어,0.006405733117924944,0.0055552557506486355,0.0008504773672763087
전라남도,4,경리,0.01624002508686586,0.005502054039079943,0.010737971047785917
전라남도,5,태양광,0.007718904320813659,0.0053160531257144955,0.0024028511950991635
전라남도,6,경력직,0.021042754281990192,0.0052167700167549715,0.01582598426523522
전라남도,7,안전관리자,0.011852233330738551,0.005211146682331876,0.006641086648406676
전라남도,8,녹테마레,0.005796360154113939,0.005196007110014837,0.0006003530440991016
전라남도,9,공시,0.0064727701306070235,0.004907402341158021,0.0015653677894490023
전라남도,10,데스틴파워,0.005333036070102677,0.004780671421625122,0.0005523646484775549
전라남도,11,운전면허증,0.00715834348895576,0.00463417866855906,0.0025241648203967
전라남도,12,영업직,0.007906826393359177,0.004629803042469049,0.0032770233508901277
전라남도,13,위바,0.00517542464935378,0.004611404103226918,0.0005640205461268618
전라남도,14,신입/경력사원,0.008038127111050621,0.0043925884892354015,0.0036455386218152194
전라남도,15,화순공장,0.004930836254144228,0.004352777115509657,0.0005780591386345712
경상북도,1,생산직종사자,0.028548222209687828,0.009781303094376262,0.018766919115311566
경상북도,2,공정관리자,0.02359069214068544,0.008307589175539316,0.015283102965146123
경상북도,3,교대,0.013795674479909674,0.00703996754692473,0.006755706932984944
경상북도,4,자동화,0.011630818572259716,0.006806768744153389,0.004824049828106328
경상북도,5,전자엔지니어,0.012817448766379339,0.00637428916930883,0.006443159597070509
경상북도,6,전기 전자엔지니어,0.012817448766379339,0.00637428916930883,0.006443159597070509
경상북도,7,화물,0.014048930638880085,0.005569944563692104,0.008478986075187982
